dataName,friendlyName,family,tier,mount,slots,baseWeaponMass_tons,crew,magazine,ammoMass_kg,proposed_ammoMass_kg,ammoMass_delta_pct,vanilla_massDerivedDiameter_mm,proposed_massDerivedDiameter_mm,massDerivedDiameter_delta_pct,vanilla_physicalCrossSection_m2,proposed_physicalCrossSection_m2,physicalCrossSection_delta_pct,warheadMass_kg,proposed_warheadMass_kg,warheadMass_delta_pct,vanilla_durability_kg,proposed_durability_kg,durability_delta_pct,salvo_shots,proposed_salvo_shots,salvo_shots_delta,vanilla_intraSalvoCooldown_s,proposed_intraSalvoCooldown_s,intraSalvoCooldown_delta_pct,vanilla_targetingRange_km,proposed_targetingRange_km,targetingRange_delta_pct,vanilla_cooldown_s,proposed_cooldown_s,cooldown_delta_pct,vanilla_cycle_s,proposed_cycle_s,cycle_delta_pct,vanilla_effective_rpm,proposed_effective_rpm,effective_rpm_delta_pct,first_shot_travel_before_next_salvo_km,full_salvo_arrival_range_km,vanilla_muzzleVelocity_kps,proposed_muzzleVelocity_kps,muzzleVelocity_delta_pct,coil_equivalent_velocity_kps,alien_velocity_floor_applied,vanilla_efficiency,proposed_efficiency,efficiency_delta_pp,efficiency_delta_pct,vanilla_damage_MJ_per_shot,proposed_damage_MJ_per_shot,damage_delta_pct,vanilla_input_GJ_per_shot,proposed_input_GJ_per_shot,input_delta_pct,vanilla_avg_input_MW,proposed_avg_input_MW,avg_input_delta_pct,vanilla_weapon_heat_MW,proposed_weapon_heat_MW,weapon_heat_delta_pct,source_template,proposal_notes
LightRailCannonMk2,Light Rail Cannon Mk2,Human Rail,Mk2,OneNose,1,55,4,200,30,37.5,0.25,58.276217,62.776152,0.077217,0.002667,0.003095,0.160397,24,30,0.25,24,30,0.25,1,1,0,0,0,0,600,600,0,30,12,-0.6,30,12,-0.6,2,5,1.5,52,52,4.32,4.32,0,,false,0.3,0.3,0,0,223.9488,279.936,0.25,0.93312,1.1664,0.25,31.104,97.2,2.125,21.7728,68.04,2.125,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
LightRailCannonMk3,Light Rail Cannon Mk3,Human Rail,Mk3,OneNose,1,50,4,200,30,37.5,0.25,58.276217,62.776152,0.077217,0.002667,0.003095,0.160397,26.25,32.8125,0.25,26.25,32.8125,0.25,1,1,0,0,0,0,650,650,0,15,8,-0.466667,15,8,-0.466667,4,7.5,0.875,41,41,5.18,5.18,0,,false,0.35,0.35,0,0,352.17525,440.219062,0.25,1.14996,1.43745,0.25,76.664,179.68125,1.34375,49.8316,116.792812,1.34375,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
RailCannonMk1,Rail Cannon Mk1,Human Rail,Mk1,TwoNoseVert,2,120,5,240,60,60,0,73.423433,73.423433,0,0.004234,0.004234,0,45,45,0,45,45,0,1,1,0,0,0,0,700,700,0,45,45,0,45,45,0,1.333333,1.333333,0,194,194,4.32,4.32,0,,false,0.25,0.25,0,0,419.904,419.904,0,2.239488,2.239488,0,49.7664,49.7664,0,37.3248,37.3248,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
RailCannonMk2,Rail Cannon Mk2,Human Rail,Mk2,TwoNoseVert,2,110,5,240,60,60,0,73.423433,73.423433,0,0.004234,0.004234,0,48,48,0,48,48,0,1,1,0,0,0,0,750,750,0,30,30,0,30,30,0,2,2,0,155,155,5.18,5.18,0,,false,0.3,0.3,0,0,643.9776,643.9776,0,2.68324,2.68324,0,89.441333,89.441333,0,62.608933,62.608933,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
RailCannonMk3,Rail Cannon Mk3,Human Rail,Mk3,TwoNoseVert,2,100,5,240,60,60,0,73.423433,73.423433,0,0.004234,0.004234,0,52.5,52.5,0,52.5,52.5,0,1,1,0,0,0,0,800,800,0,15,15,0,15,15,0,4,4,0,97,97,6.48,6.48,0,,false,0.35,0.35,0,0,1102.248,1102.248,0,3.599177,3.599177,0,239.945143,239.945143,0,155.964343,155.964343,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
HeavyRailCannonMk1,Heavy Rail Cannon Mk1,Human Rail,Mk1,ThreeNoseAngle,3,180,6,240,90,90,0,84.04885,84.04885,0,0.005548,0.005548,0,67.5,67.5,0,67.5,67.5,0,1,1,0,0,0,0,800,800,0,45,45,0,45,45,0,1.333333,1.333333,0,214,214,4.75,4.75,0,,false,0.25,0.25,0,0,761.484375,761.484375,0,4.06125,4.06125,0,90.25,90.25,0,67.6875,67.6875,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
HeavyRailCannonMk2,Heavy Rail Cannon Mk2,Human Rail,Mk2,ThreeNoseAngle,3,165,6,240,90,90,0,84.04885,84.04885,0,0.005548,0.005548,0,72,72,0,72,72,0,1,1,0,0,0,0,850,850,0,30,30,0,30,30,0,2,2,0,175,175,5.83,5.83,0,,false,0.3,0.3,0,0,1223.6004,1223.6004,0,5.098335,5.098335,0,169.9445,169.9445,0,118.96115,118.96115,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
HeavyRailCannonMk3,Heavy Rail Cannon Mk3,Human Rail,Mk3,ThreeNoseAngle,3,150,6,240,90,90,0,84.04885,84.04885,0,0.005548,0.005548,0,78.75,78.75,0,78.75,78.75,0,1,1,0,0,0,0,900,900,0,15,15,0,15,15,0,4,4,0,107,107,7.125,7.125,0,,false,0.35,0.35,0,0,1998.896484,1998.896484,0,6.527009,6.527009,0,435.133929,435.133929,0,282.837054,282.837054,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
SpinalRailgunMk1,Spinal Railgun Mk1,Human Rail,Mk1,FourNose,4,240,6,300,120,120,0,92.507729,92.507729,0,0.006721,0.006721,0,90,90,0,90,90,0,1,1,0,0,0,0,900,900,0,45,45,0,45,45,0,1.333333,1.333333,0,233,233,5.18,5.18,0,,false,0.25,0.25,0,0,1207.458,1207.458,0,6.439776,6.439776,0,143.106133,143.106133,0,107.3296,107.3296,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
SpinalRailgunMk2,Spinal Railgun Mk2,Human Rail,Mk2,FourNose,4,220,6,300,120,120,0,92.507729,92.507729,0,0.006721,0.006721,0,96,96,0,96,96,0,1,1,0,0,0,0,950,950,0,30,30,0,30,30,0,2,2,0,194,194,6.48,6.48,0,,false,0.3,0.3,0,0,2015.5392,2015.5392,0,8.39808,8.39808,0,279.936,279.936,0,195.9552,195.9552,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
SpinalRailgunMk3,Spinal Railgun Mk3,Human Rail,Mk3,FourNose,4,200,6,300,120,120,0,92.507729,92.507729,0,0.006721,0.006721,0,105,105,0,105,105,0,1,1,0,0,0,0,1000,1000,0,15,15,0,15,15,0,4,4,0,117,117,7.77,7.77,0,,false,0.35,0.35,0,0,3169.57725,3169.57725,0,10.34964,10.34964,0,689.976,689.976,0,448.4844,448.4844,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
LightCoilgunBatteryMk1,Light Coilgun Battery Mk1,Human Coil,Mk1,OneHull,1,50,3,1500,10,13,0.3,40.406472,44.099336,0.091393,0.001282,0.001527,0.191138,7.5,10,0.333333,7.5,10,0.333333,3,3,0,10,10,0,500,500,0,40,28,-0.3,60,48,-0.2,3,3.75,0.25,216,126,4.5,4.5,0,,false,0.5,0.5,0,0,75.9375,101.25,0.333333,0.2025,0.26325,0.3,10.125,16.453125,0.625,5.0625,8.226563,0.625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
LightCoilgunBatteryMk2,Light Coilgun Battery Mk2,Human Coil,Mk2,OneHull,1,45,3,1500,10,13,0.3,40.406472,44.099336,0.091393,0.001282,0.001527,0.191138,8,10,0.25,8,10,0.25,4,4,0,10,10,0,550,550,0,30,18,-0.4,60,48,-0.2,4,5,0.25,259,97,5.4,5.4,0,,false,0.6,0.6,0,0,116.64,145.8,0.25,0.243,0.3159,0.3,16.2,26.325,0.625,6.48,10.53,0.625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
LightCoilgunBatteryMk3,Light Coilgun Battery Mk3,Human Coil,Mk3,OneHull,1,40,3,1500,10,13,0.3,40.406472,44.099336,0.091393,0.001282,0.001527,0.191138,8.75,11,0.257143,8.75,11,0.257143,5,5,0,10,10,0,600,600,0,20,8,-0.6,60,48,-0.2,5,6.25,0.25,302,50,6.3,6.3,0,,false,0.7,0.7,0,0,173.64375,218.295,0.257143,0.2835,0.36855,0.3,23.625,38.390625,0.625,7.0875,11.517188,0.625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
CoilgunBatteryMk1,Coilgun Battery Mk1,Human Coil,Mk1,TwoHullHoriz,2,100,4,1800,20,25,0.25,50.908965,54.84002,0.077217,0.002036,0.002362,0.160397,15,19,0.266667,15,19,0.266667,3,3,0,10,10,0,650,650,0,40,28,-0.3,60,48,-0.2,3,3.75,0.25,259,151,5.4,5.4,0,,false,0.5,0.5,0,0,218.7,277.02,0.266667,0.5832,0.729,0.25,29.16,45.5625,0.5625,14.58,22.78125,0.5625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
CoilgunBatteryMk2,Coilgun Battery Mk2,Human Coil,Mk2,TwoHullHoriz,2,90,4,1800,20,25,0.25,50.908965,54.84002,0.077217,0.002036,0.002362,0.160397,16,20,0.25,16,20,0.25,4,4,0,10,10,0,700,700,0,30,18,-0.4,60,48,-0.2,4,5,0.25,302,113,6.3,6.3,0,,false,0.6,0.6,0,0,317.52,396.9,0.25,0.6615,0.826875,0.25,44.1,68.90625,0.5625,17.64,27.5625,0.5625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
CoilgunBatteryMk3,Coilgun Battery Mk3,Human Coil,Mk3,TwoHullHoriz,2,80,4,1800,20,25,0.25,50.908965,54.84002,0.077217,0.002036,0.002362,0.160397,17.5,22,0.257143,17.5,22,0.257143,5,5,0,10,10,0,750,750,0,20,8,-0.6,60,48,-0.2,5,6.25,0.25,346,58,7.2,7.2,0,,false,0.7,0.7,0,0,453.6,570.24,0.257143,0.740571,0.925714,0.25,61.714286,96.428571,0.5625,18.514286,28.928571,0.5625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavyCoilgunBatteryMk1,Heavy Coilgun Battery Mk1,Human Coil,Mk1,FourHull,4,200,5,2160,40,50,0.25,64.141277,69.094096,0.077217,0.003231,0.003749,0.160397,30,38,0.266667,30,38,0.266667,3,3,0,10,10,0,800,800,0,40,28,-0.3,60,48,-0.2,3,3.75,0.25,302,176,6.3,6.3,0,,false,0.5,0.5,0,0,595.35,754.11,0.266667,1.5876,1.9845,0.25,79.38,124.03125,0.5625,39.69,62.015625,0.5625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavyCoilgunBatteryMk2,Heavy Coilgun Battery Mk2,Human Coil,Mk2,FourHull,4,180,5,2160,40,50,0.25,64.141277,69.094096,0.077217,0.003231,0.003749,0.160397,32,40,0.25,32,40,0.25,4,4,0,10,10,0,850,850,0,30,18,-0.4,60,48,-0.2,4,5,0.25,346,130,7.2,7.2,0,,false,0.6,0.6,0,0,829.44,1036.8,0.25,1.728,2.16,0.25,115.2,180,0.5625,46.08,72,0.5625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavyCoilgunBatteryMk3,Heavy Coilgun Battery Mk3,Human Coil,Mk3,FourHull,4,160,5,2160,40,50,0.25,64.141277,69.094096,0.077217,0.003231,0.003749,0.160397,35,44,0.257143,35,44,0.257143,5,5,0,10,10,0,900,900,0,20,8,-0.6,60,48,-0.2,5,6.25,0.25,389,65,8.1,8.1,0,,false,0.7,0.7,0,0,1148.175,1443.42,0.257143,1.874571,2.343214,0.25,156.214286,244.084821,0.5625,46.864286,73.225446,0.5625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
LightCoilCannonMk1,Light Coil Cannon Mk1,Human Coil,Mk1,OneNose,1,60,4,300,25,31,0.24,54.84002,58.916667,0.074337,0.002362,0.002726,0.1542,18.75,23,0.226667,18.75,23,0.226667,3,3,0,12,12,0,550,550,0,48,34,-0.291667,72,58,-0.194444,2.5,3.103448,0.241379,313,184,5.4,5.4,0,,false,0.5,0.5,0,0,273.375,335.34,0.226667,0.729,0.90396,0.24,30.375,46.756552,0.53931,15.1875,23.378276,0.53931,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
LightCoilCannonMk2,Light Coil Cannon Mk2,Human Coil,Mk2,OneNose,1,55,4,300,25,31,0.24,54.84002,58.916667,0.074337,0.002362,0.002726,0.1542,20,25,0.25,20,25,0.25,4,4,0,12,12,0,600,600,0,36,22,-0.388889,72,58,-0.194444,3.333333,4.137931,0.241379,365,139,6.3,6.3,0,,false,0.6,0.6,0,0,396.9,496.125,0.25,0.826875,1.025325,0.24,45.9375,70.712069,0.53931,18.375,28.284828,0.53931,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
LightCoilCannonMk3,Light Coil Cannon Mk3,Human Coil,Mk3,OneNose,1,50,4,300,25,31,0.24,54.84002,58.916667,0.074337,0.002362,0.002726,0.1542,21.875,27,0.234286,21.875,27,0.234286,5,5,0,12,12,0,650,650,0,24,10,-0.583333,72,58,-0.194444,4.166667,5.172414,0.241379,470,81,8.1,8.1,0,,false,0.7,0.7,0,0,717.609375,885.735,0.234286,1.171607,1.452793,0.24,81.361607,125.240764,0.53931,24.408482,37.572229,0.53931,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
CoilCannonMk1,Coil Cannon Mk1,Human Coil,Mk1,TwoNoseVert,2,120,5,360,50,63,0.26,69.094096,74.62731,0.080082,0.003749,0.004374,0.166578,37.5,47,0.253333,37.5,47,0.253333,3,3,0,12,12,0,700,700,0,48,34,-0.291667,72,58,-0.194444,2.5,3.103448,0.241379,365,214,6.3,6.3,0,,false,0.5,0.5,0,0,744.1875,932.715,0.253333,1.9845,2.50047,0.26,82.6875,129.334655,0.564138,41.34375,64.667328,0.564138,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
CoilCannonMk2,Coil Cannon Mk2,Human Coil,Mk2,TwoNoseVert,2,110,5,360,50,63,0.26,69.094096,74.62731,0.080082,0.003749,0.004374,0.166578,40,50,0.25,40,50,0.25,4,4,0,12,12,0,750,750,0,36,22,-0.388889,72,58,-0.194444,3.333333,4.137931,0.241379,418,158,7.2,7.2,0,,false,0.6,0.6,0,0,1036.8,1296,0.25,2.16,2.7216,0.26,120,187.696552,0.564138,48,75.078621,0.564138,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
