dataName,friendlyName,maxOutput_GW,specificPower_tGW,massAtCap_tons,powerPlantClass,efficiency,crew,weightedBuildMaterials/water,weightedBuildMaterials/volatiles,weightedBuildMaterials/metals,weightedBuildMaterials/nobleMetals,iconResource,requiredProjectName,weightedBuildMaterials/fissiles,weightedBuildMaterials/exotics,weightedBuildMaterials/antimatter
MoltenCoreFissionReactorI,Molten Core Fission Reactor I,4,16,64,Liquid_Core_Fission,0.675,6,0.1,0.1,0.55,0.2,shipbuildericons/ICO_MoltenCoreFissionReactorI,Project_MoltenCoreFissionReactorI,0.05,,
MoltenCoreFissionReactorII,Molten Core Fission Reactor II,17,14,238,Liquid_Core_Fission,0.705,6,0.1,0.1,0.55,0.2,shipbuildericons/ICO_MoltenCoreFissionReactorII,Project_MoltenCoreFissionReactorII,0.05,,
MoltenCoreFissionReactorIII,Molten Core Fission Reactor III,200,12,2400,Liquid_Core_Fission,0.725,6,0.1,0.1,0.55,0.2,shipbuildericons/ICO_MoltenCoreFissionReactorIII,Project_MoltenCoreFissionReactorIII,0.05,,
VaporCoreFissionReactorI,Vapor Core Fission Reactor I,6.5,8,52,Gas_Core_Fission,0.87,8,0.1,0.1,0.5,0.25,shipbuildericons/ICO_VaporCoreFissionReactorI,Project_VaporCoreFissionReactorI,0.05,,
VaporCoreFissionReactorII,Vapor Core Fission Reactor II,20,6,120,Gas_Core_Fission,0.88,6,0.1,0.1,0.5,0.25,shipbuildericons/ICO_VaporCoreFissionReactorII,Project_VaporCoreFissionReactorII,0.05,,
VaporCoreFissionReactorIII,Vapor Core Fission Reactor III,60,5,300,Gas_Core_Fission,0.89,5,0.1,0.1,0.5,0.25,shipbuildericons/ICO_VaporCoreFissionReactorIII,Project_VaporCoreFissionReactorIII,0.05,,
GasCoreFissionReactorI,Gas Core Fission Reactor I,8,20,160,Gas_Core_Fission,0.87,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorI,Project_GasCoreFissionReactorI,0.05,,
GasCoreFissionReactorII,Gas Core Fission Reactor II,33,16,528,Gas_Core_Fission,0.89,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorII,Project_GasCoreFissionReactorII,0.05,,
GasCoreFissionReactorIII,Gas Core Fission Reactor III,150,10,1500,Gas_Core_Fission,0.91,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorIII,Project_GasCoreFissionReactorIII,0.05,,
GasCoreFissionReactorIV,Gas Core Fission Reactor IV,1650,7,11550,Gas_Core_Fission,0.92,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorIV,Project_GasCoreFissionReactorIV,0.05,,
GasCoreFissionReactorV,Gas Core Fission Reactor V,1650,6,9900,Gas_Core_Fission,0.93,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorV,Project_GasCoreFissionReactorV,0.05,,
GasCoreFissionReactorVI,Gas Core Fission Reactor VI,1650,4,6600,Gas_Core_Fission,0.94,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorVI,Project_GasCoreFissionReactorVI,0.05,,
ElectrostaticConfinementFusionReactorI,Electrostatic Confinement Fusion Reactor I,46,1,46,Electrostatic_Confinement_Fusion,0.95,4,0.02,0.3,0.5,0.16,shipbuildericons/ICO_ElectrostaticConfinementFusionReactorI,Project_ElectrostaticConfinementFusionReactorI,0.02,,
ElectrostaticConfinementFusionReactorII,Electrostatic Confinement Fusion Reactor II,74,0.5,37,Electrostatic_Confinement_Fusion,0.95,4,0.02,0.3,0.5,0.16,shipbuildericons/ICO_ElectrostaticConfinementFusionReactorII,Project_ElectrostaticConfinementFusionReactorII,0.02,,
ElectrostaticConfinementFusionReactorIII,Electrostatic Confinement Fusion Reactor III,310,0.005,1.55,Electrostatic_Confinement_Fusion,0.95,4,0.02,0.3,0.519,0.16,shipbuildericons/ICO_ElectrostaticConfinementFusionReactorIII,Project_ElectrostaticConfinementFusionReactorIII,,0.001,
MirrorCellFusionReactorI,Mirror Cell Fusion Reactor I,120,5,600,Mirrored_Magnetic_Confinement_Fusion,0.93,6,0.02,0.2,0.54,0.24,shipbuildericons/ICO_MirrorCellFusionReactorI,Project_MirrorCellFusionReactorI,,,
MirrorCellFusionReactorII,Mirror Cell Fusion Reactor II,215,4,860,Mirrored_Magnetic_Confinement_Fusion,0.95,6,0.02,0.2,0.54,0.24,shipbuildericons/ICO_MirrorCellFusionReactorII,Project_MirrorCellFusionReactorII,,,
MirrorCellFusionReactorIII,Mirror Cell Fusion Reactor III,256,0.8,204.8,Mirrored_Magnetic_Confinement_Fusion,0.97,6,0.02,0.2,0.54,0.24,shipbuildericons/ICO_MirrorCellFusionReactorIII,Project_MirrorCellFusionReactorIII,,,
FusionTokamakI,Fusion Tokamak I,128,4,512,Toroid_Magnetic_Confinement_Fusion,0.92,8,0.02,0.3,0.52,0.16,shipbuildericons/ICO_FusionTokamakI,Project_FusionTokamakI,,,
FusionTokamakII,Fusion Tokamak II,401,2,802,Toroid_Magnetic_Confinement_Fusion,0.95,8,0.02,0.3,0.52,0.16,shipbuildericons/ICO_FusionTokamakII,Project_FusionTokamakII,,,
FusionTokamakIII,Fusion Tokamak III,624,1,624,Toroid_Magnetic_Confinement_Fusion,0.96,8,0.02,0.3,0.52,0.16,shipbuildericons/ICO_FusionTokamakIII,Project_FusionTokamakIII,,,
FusionTokamakIV,Fusion Tokamak IV,1260,0.5,630,Toroid_Magnetic_Confinement_Fusion,0.985,8,0.02,0.3,0.52,0.16,shipbuildericons/ICO_FusionTokamakIV,Project_FusionTokamakIV,,,
FusionTokamakV,Fusion Tokamak V,5060,0.1,506,Toroid_Magnetic_Confinement_Fusion,0.99,8,0.02,0.3,0.519,0.16,shipbuildericons/ICO_FusionTokamakV,Project_FusionTokamakV,,0.001,
HybridConfinementFusionReactorI,Hybrid Confinement Fusion Reactor I,180,2,360,Hybrid_Confinement_Fusion,0.97,12,0.02,0.18,0.4,0.4,shipbuildericons/ICO_HybridConfinementFusionReactorI,Project_HybridConfinementFusionReactorI,,,
HybridConfinementFusionReactorII,Hybrid Confinement Fusion Reactor II,510,1,510,Hybrid_Confinement_Fusion,0.98,12,0.02,0.18,0.4,0.4,shipbuildericons/ICO_HybridConfinementFusionReactorII,Project_HybridConfinementFusionReactorII,,,
HybridConfinementFusionReactorIII,Hybrid Confinement Fusion Reactor III,1900,0.5,950,Hybrid_Confinement_Fusion,0.99,12,0.02,0.18,0.4,0.4,shipbuildericons/ICO_HybridConfinementFusionReactorIII,Project_HybridConfinementFusionReactorIII,,,
HybridConfinementFusionReactorIV,Hybrid Confinement Fusion Reactor IV,11370,0.05,568.5,Hybrid_Confinement_Fusion,0.99,12,0.02,0.18,0.1,0.7,shipbuildericons/ICO_HybridConfinementFusionReactorIV,Project_HybridConfinementFusionReactorIV,,,
ZPinchFusionReactorI,Z-Pinch Fusion Reactor I,260,3,780,Z_Pinch_Fusion,0.95,12,0.02,0.2,0.48,0.3,shipbuildericons/ICO_ZPinchFusionReactorI,Project_ZPinchFusionReactorI,,,
ZPinchFusionReactorII,Z-Pinch Fusion Reactor II,610,2,1220,Z_Pinch_Fusion,0.95,12,0.02,0.2,0.48,0.3,shipbuildericons/ICO_ZPinchFusionReactorII,Project_ZPinchFusionReactorII,,,
ZPinchFusionReactorIII,Z-Pinch Fusion Reactor III,2510,1.4,3514,Z_Pinch_Fusion,0.96,12,0.02,0.2,0.45,0.33,shipbuildericons/ICO_ZPinchFusionReactorIII,Project_ZPinchFusionReactorIII,,,
ZPinchFusionReactorIV,Z-Pinch Fusion Reactor IV,3970,0.4,1588,Z_Pinch_Fusion,0.98,12,0.02,0.2,0.45,0.33,shipbuildericons/ICO_ZPinchFusionReactorIV,Project_ZPinchFusionReactorIV,,,
FlowStabilizedZPinchFusionReactor,Flow Stabilized Z-Pinch Fusion Reactor,7590,0.0068,51.611999999999995,Z_Pinch_Fusion,0.995,12,0.02,0.2,0.44,0.32,shipbuildericons/ICO_FlowStabilizedZPinchFusionReactor,Project_FlowStabilizedZPinchFusionReactor,,0.02,
InertialConfinementFusionReactorI,Inertial Confinement Fusion Reactor I,370,4,1480,Inertial_Confinement_Fusion,0.85,12,0.02,0.15,0.48,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorI,Project_InertialConfinementFusionReactorI,,,
InertialConfinementFusionReactorII,Inertial Confinement Fusion Reactor II,860,2,1720,Inertial_Confinement_Fusion,0.89,12,0.02,0.15,0.48,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorII,Project_InertialConfinementFusionReactorII,,,
InertialConfinementFusionReactorIII,Inertial Confinement Fusion Reactor III,3170,1,3170,Inertial_Confinement_Fusion,0.92,12,0.02,0.15,0.48,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorIII,Project_InertialConfinementFusionReactorIII,,,
InertialConfinementFusionReactorIV,Inertial Confinement Fusion Reactor IV,5500,0.5,2750,Inertial_Confinement_Fusion,0.95,12,0.02,0.15,0.48,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorIV,Project_InertialConfinementFusionReactorIV,,,
InertialConfinementFusionReactorV,Inertial Confinement Fusion Reactor V,19090,0.25,4772.5,Inertial_Confinement_Fusion,0.975,10,0.02,0.15,0.47999,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorV,Project_InertialConfinementFusionReactorV,,0.00001,
InertialConfinementFusionReactorVI,Inertial Confinement Fusion Reactor VI,20420,0.068,1388.5600000000002,Inertial_Confinement_Fusion,0.99,10,0.02,0.15,0.479,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorVI,Project_InertialConfinementFusionReactorVI,,0.001,
InertialConfinementFusionReactorVII,Inertial Confinement Fusion Reactor VII,306430,0.002,612.86,Inertial_Confinement_Fusion,0.999,10,0.02,0.15,0.39,0.34,shipbuildericons/ICO_InertialConfinementFusionReactorVII,Project_InertialConfinementFusionReactorVII,,0.1,
AlienHybridConfinementFusionReactor,Alien Hybrid Confinement Fusion Reactor,5000,0.5,2500,Hybrid_Confinement_Fusion,0.995,4,0.02,0.16,0.67,0.15,shipbuildericons/ICO_AlienHybridConfinementFusionReactor,Project_AlienMasterProject,,,
AlienAdvancedHybridConfinementFusionReactor,Alien Advanced Hybrid Confinement Fusion Reactor,32000,0.175,5600,Hybrid_Confinement_Fusion,0.998,4,0.02,0.16,0.6658,0.15,shipbuildericons/ICO_AlienHybridConfinementFusionReactor,Project_AlienMasterProject,,0.001,
AlienSuperAdvancedHybridConfinementFusionReactor,Alien Super Advanced Hybrid Confinement Fusion Reactor,107550,0.025,2688.75,Hybrid_Confinement_Fusion,0.9995,4,0.02,0.16,0.665,0.15,shipbuildericons/ICO_AlienHybridConfinementFusionReactor,Project_AlienAdvancedMasterProject,,0.007,
AntimatterPlasmaCoreReactorI,Antimatter Plasma Core Reactor I,1200,0.4,480,Antimatter_Plasma_Core,0.9975,12,,0.2,0.5999,0.2,shipbuildericons/ICO_AntimatterPlasmaCoreReactorI,Project_AntimatterPlasmaCoreReactorI,,,0.0001
AntimatterPlasmaCoreReactorII,Antimatter Plasma Core Reactor II,11150,0.04,446,Antimatter_Plasma_Core,0.9975,12,,0.2,0.59999,0.2,shipbuildericons/ICO_AntimatterPlasmaCoreReactorII,Project_AntimatterPlasmaCoreReactorII,,,0.00001
AntimatterPlasmaCoreReactorIII,Antimatter Plasma Core Reactor III,66000,0.004,264,Antimatter_Plasma_Core,0.998,12,,0.2,0.599989,0.2,shipbuildericons/ICO_AntimatterPlasmaCoreReactorIII,Project_AntimatterPlasmaCoreReactorIII,,0.00001,0.000001
AntimatterBeamCoreReactor,Antimatter Beam Core Reactor,3000000,0.00002,60.00000000000001,Antimatter_Beam_Core,0.999,12,,0.2,0.4,0.3,shipbuildericons/ICO_AntimatterBeamCoreReactor,Project_AntimatterBeamCoreReactor,,0.05,0.05
