dataName,friendlyName,family,tier,mount,peer_dataName,original_muzzleVelocity_kps,proposed_muzzleVelocity_kps,muzzleVelocity_delta_kps,muzzleVelocity_delta_pct,original_targetingRange_km,proposed_targetingRange_km,targetingRange_delta_km,targetingRange_delta_pct,original_cooldown_s,proposed_cooldown_s,cooldown_delta_s,cooldown_delta_pct,salvo_shots,original_intraSalvoCooldown_s,proposed_intraSalvoCooldown_s,intraSalvoCooldown_delta_s,intraSalvoCooldown_delta_pct,original_cycle_s,proposed_cycle_s,cycle_delta_s,cycle_delta_pct,original_warheadMass_kg,proposed_warheadMass_kg,warheadMass_delta_kg,warheadMass_delta_pct,original_damage_MJ_per_shot,proposed_damage_MJ_per_shot,damage_delta_pct,original_sustained_damage_MW,proposed_sustained_damage_MW,sustained_damage_delta_pct,peer_targetingRange_km,peer_sustained_damage_MW,proposed_range_margin_km,proposed_sustained_margin_pct,source_template,proposal_rule
LightCoilgunBatteryMk1,Light Coilgun Battery Mk1,Human Coil,Mk1,OneHull,LightRailgunBatteryMk2,4.5,5.6,1.1,0.244444,500,600,100,0.2,28,28,0,0,3,10,4,-6,-0.6,48,36,-12,-0.25,10,10,0,0,101.25,156.8,0.548642,6.328125,13.066667,1.064856,550,10.164,50,0.285583,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
LightCoilCannonMk3,Light Coil Cannon Mk3,Human Coil,Mk3,OneNose,,8.1,10.1,2,0.246914,650,800,150,0.230769,10,10,0,0,5,12,5,-7,-0.583333,58,30,-28,-0.482759,27,27,0,0,885.735,1377.135,0.554793,76.356466,229.5225,2.005934,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
CoilCannonMk1,Coil Cannon Mk1,Human Coil,Mk1,TwoNoseVert,RailCannonMk2,6.3,7.9,1.6,0.253968,700,850,150,0.214286,34,34,0,0,3,12,8,-4,-0.333333,58,50,-8,-0.137931,47,47,0,0,932.715,1466.635,0.572436,48.243879,87.9981,0.824026,750,21.46592,100,3.099433,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
CoilCannonMk2,Coil Cannon Mk2,Human Coil,Mk2,TwoNoseVert,RailCannonMk3,7.2,9,1.8,0.25,750,900,150,0.2,22,22,0,0,4,12,8,-4,-0.333333,58,46,-12,-0.206897,50,50,0,0,1296,2025,0.5625,89.37931,176.086957,0.970109,800,73.4832,100,1.396289,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
CoilCannonMk3,Coil Cannon Mk3,Human Coil,Mk3,TwoNoseVert,,9,11.3,2.3,0.255556,800,1000,200,0.25,10,10,0,0,5,12,8,-4,-0.333333,58,42,-16,-0.275862,55,55,0,0,2227.5,3511.475,0.57642,192.025862,418.032738,1.176961,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavyCoilCannonMk1,Heavy Coil Cannon Mk1,Human Coil,Mk1,ThreeNoseAngle,HeavyRailCannonMk2,6.8,8.5,1.7,0.25,800,1000,200,0.25,34,34,0,0,3,12,8,-4,-0.333333,58,50,-8,-0.137931,71,71,0,0,1641.52,2564.875,0.5625,84.906207,153.8925,0.8125,850,40.78668,150,2.773107,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavyCoilCannonMk2,Heavy Coil Cannon Mk2,Human Coil,Mk2,ThreeNoseAngle,HeavyRailCannonMk3,7.7,9.6,1.9,0.246753,850,1050,200,0.235294,22,22,0,0,4,12,8,-4,-0.333333,58,46,-12,-0.206897,75,75,0,0,2223.375,3456,0.554394,153.336207,300.521739,0.959888,900,133.259766,150,1.255157,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavyCoilCannonMk3,Heavy Coil Cannon Mk3,Human Coil,Mk3,ThreeNoseAngle,,9.5,11.9,2.4,0.252632,900,1100,200,0.222222,10,10,0,0,5,12,8,-4,-0.333333,58,42,-16,-0.275862,82,82,0,0,3700.25,5806.01,0.569086,318.987069,691.191667,1.166833,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
SpinalCoilerMk1,Spinal Coiler Mk1,Human Coil,Mk1,FourNose,SpinalRailgunMk2,7.2,9,1.8,0.25,900,1100,200,0.222222,34,34,0,0,3,12,8,-4,-0.333333,58,50,-8,-0.137931,94,94,0,0,2436.48,3807,0.5625,126.024828,228.42,0.8125,950,67.18464,150,2.399884,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
SpinalCoilerMk2,Spinal Coiler Mk2,Human Coil,Mk2,FourNose,SpinalRailgunMk3,8.1,10.1,2,0.246914,950,1150,200,0.210526,22,22,0,0,4,12,8,-4,-0.333333,58,46,-12,-0.206897,100,100,0,0,3280.5,5100.5,0.554793,226.241379,443.521739,0.960392,1000,211.30515,150,1.098963,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
SpinalCoilerMk3,Spinal Coiler Mk3,Human Coil,Mk3,FourNose,,9.9,12.4,2.5,0.252525,1000,1250,250,0.25,10,10,0,0,5,12,8,-4,-0.333333,58,42,-16,-0.275862,109,109,0,0,5341.545,8379.92,0.56882,460.478017,997.609524,1.166465,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavySiegeCoilerMk1,Heavy Siege Coiler Mk1,Human Coil,Mk1,ThreeNoseAngle,HeavyRailCannonMk2,3.4,4.3,0.9,0.264706,800,1000,200,0.25,24,24,0,0,3,36,22,-14,-0.388889,96,68,-28,-0.291667,704,704,0,0,4069.12,6508.48,0.599481,127.16,287.138824,1.258091,850,40.78668,150,6.040015,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavySiegeCoilerMk2,Heavy Siege Coiler Mk2,Human Coil,Mk2,ThreeNoseAngle,HeavyRailCannonMk3,3.8,4.8,1,0.263158,850,1050,200,0.235294,19,19,0,0,3,24,15,-9,-0.375,67,49,-18,-0.268657,750,750,0,0,5415,8640,0.595568,242.462687,528.979592,1.181695,900,133.259766,150,2.969537,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavySiegeCoilerMk3,Heavy Siege Coiler Mk3,Human Coil,Mk3,ThreeNoseAngle,,4.7,5.9,1.2,0.255319,900,1100,200,0.222222,12,12,0,0,3,18,11,-7,-0.388889,48,34,-14,-0.291667,821,821,0,0,9067.945,14289.505,0.575826,566.746563,1260.838676,1.224696,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
SpinalSiegeCoilerMk1,Spinal Siege Coiler Mk1,Human Coil,Mk1,FourNose,SpinalRailgunMk2,3.6,4.5,0.9,0.25,900,1100,200,0.222222,24,24,0,0,3,36,22,-14,-0.388889,96,68,-28,-0.291667,938,938,0,0,6078.24,9497.25,0.5625,189.945,418.996324,1.205882,950,67.18464,150,5.23649,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
SpinalSiegeCoilerMk2,Spinal Siege Coiler Mk2,Human Coil,Mk2,FourNose,SpinalRailgunMk3,4.1,5.1,1,0.243902,950,1150,200,0.210526,19,19,0,0,3,24,15,-9,-0.375,67,49,-18,-0.268657,1000,1000,0,0,8405,13005,0.547293,376.343284,796.22449,1.115687,1000,211.30515,150,2.768126,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
SpinalSiegeCoilerMk3,Spinal Siege Coiler Mk3,Human Coil,Mk3,FourNose,,5,6.3,1.3,0.26,1000,1250,250,0.25,12,12,0,0,3,18,11,-7,-0.388889,48,34,-14,-0.291667,1094,1094,0,0,13675,21710.43,0.5876,854.6875,1915.626176,1.241318,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AlienLightMagBattery,Alien Light Mag Battery,Alien Mag,Base,OneHull,,5,6.3,1.3,0.26,550,650,100,0.181818,9,9,0,0,4,5,3,-2,-0.4,24,18,-6,-0.25,16,16,0,0,200,317.52,0.5876,33.333333,70.56,1.1168,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AlienMagBattery,Alien Mag Battery,Alien Mag,Base,TwoHullHoriz,,6,7.5,1.5,0.25,700,850,150,0.214286,11,11,0,0,4,6,4,-2,-0.333333,29,23,-6,-0.206897,32,32,0,0,576,900,0.5625,79.448276,156.521739,0.970109,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AlienHeavyMagBattery,Alien Heavy Mag Battery,Alien Mag,Base,FourHull,,7,8.8,1.8,0.257143,850,1050,200,0.235294,13,13,0,0,4,7.2,5,-2.2,-0.305556,34.6,28,-6.6,-0.190751,64,64,0,0,1568,2478.08,0.580408,181.271676,354.011429,0.952933,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AlienMiniLightMagCannon,Alien Mini Light Mag Cannon,Alien Mag,Base,HalfNose,,6,7.5,1.5,0.25,600,750,150,0.25,18,18,0,0,3,5,3,-2,-0.4,28,24,-4,-0.142857,43,43,0,0,774,1209.375,0.5625,82.928571,151.171875,0.822917,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AlienLightMagCannon,Alien Light Mag Cannon,Alien Mag,Base,OneNose,,6,7.5,1.5,0.25,600,750,150,0.25,18,18,0,0,3,5,3,-2,-0.4,28,24,-4,-0.142857,43,43,0,0,774,1209.375,0.5625,82.928571,151.171875,0.822917,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AlienMagCannon,Alien Mag Cannon,Alien Mag,Base,TwoNoseVert,,7,8.8,1.8,0.257143,750,900,150,0.2,22,22,0,0,3,6,4,-2,-0.333333,34,30,-4,-0.117647,85,85,0,0,2082.5,3291.2,0.580408,183.75,329.12,0.791129,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AlienHeavyMagCannon,Alien Heavy Mag Cannon,Alien Mag,Base,ThreeNoseAngle,,8.3,10.4,2.1,0.253012,850,1050,200,0.235294,32,32,0,0,3,9,6,-3,-0.333333,50,44,-6,-0.12,128,128,0,0,4408.96,6922.24,0.570039,264.5376,471.970909,0.784135,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AlienSpinalMagCannon,Alien Spinal Mag Cannon,Alien Mag,Base,FourNose,,10,12.5,2.5,0.25,950,1150,200,0.210526,43,43,0,0,3,12,8,-4,-0.333333,67,59,-8,-0.119403,170,170,0,0,8500,13281.25,0.5625,380.597015,675.317797,0.774364,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AdvancedAlienLightMagBattery,Advanced Alien Light Mag Battery,Alien Mag,Advanced,OneHull,,6.7,8.4,1.7,0.253731,650,800,150,0.230769,4,4,0,0,5,5,3,-2,-0.4,24,16,-8,-0.333333,17,17,0,0,381.565,599.76,0.571842,79.492708,187.425,1.357763,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AdvancedAlienMagBattery,Advanced Alien Mag Battery,Alien Mag,Advanced,TwoHullHoriz,,7.8,9.8,2,0.25641,800,1000,200,0.25,5,5,0,0,5,6,4,-2,-0.333333,29,21,-8,-0.275862,34,34,0,0,1034.28,1632.68,0.578567,178.324138,388.733333,1.179925,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AdvancedAlienHeavyMagBattery,Advanced Alien Heavy Mag Battery,Alien Mag,Advanced,FourHull,,9.4,11.8,2.4,0.255319,950,1150,200,0.210526,6,6,0,0,5,7.2,5,-2.2,-0.305556,34.8,26,-8.8,-0.252874,68,68,0,0,3004.24,4734.16,0.575826,431.643678,910.415385,1.109183,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
