dataName,friendlyName,mount,crew,sortOrder,requiredProjectName,attackMode,defenseMode,hp,baseWeaponMass_tons,cooldown_s,efficiency,shotPower_MJ,wavelength_nm,mirrorRadius_cm,beam_quality,jitter_Rad,bombardmentValue,targetingRange_km,pivotRange_deg,isPointDefenseTargetable,weightedBuildMaterials/volatiles,weightedBuildMaterials/metals,weightedBuildMaterials/nobleMetals,weightedBuildMaterials/exotics,iconResource,modelResource,effectResource,fireSoundFXResource
120cmIRArcLaserBattery,120 cm IR Arc Laser Battery,TwoHullHoriz,3,11,Project_60cmIRArcLaserBattery,true,true,1,155,20,0.35,150,810,120,1.15,6e-8,0.4,700,180,false,0.1,0.65,0.25,,shipbuildericons/ICO_120cmIRArcLaserBattery,shipweapons/medium_laser_battery,spaceCombat/Arc Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
360cmIRArcLaserBattery,360 cm IR Arc Laser Battery,FourHull,4,12,Project_60cmIRArcLaserBattery,true,true,1,315,20,0.35,250,810,360,1.15,4.8e-8,0.8,850,180,false,0.1,0.65,0.25,,shipbuildericons/ICO_360cmIRArcLaserBattery,shipweapons/large_laser_battery,spaceCombat/Arc Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
240cmIRArcLaserCannon,240 cm IR Arc Laser Cannon,OneNose,4,13,Project_240cmIRArcLaserCannon,true,true,1,235,20,0.35,200,810,240,1.15,3.8e-8,0.6,800,45,false,0.1,0.65,0.25,,shipbuildericons/ICO_240cmIRArcLaserCannon,shipweapons/small_laser_cannon,spaceCombat/Arc Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
480cmIRArcLaserCannon,480 cm IR Arc Laser Cannon,TwoNoseVert,5,14,Project_240cmIRArcLaserCannon,true,true,1,395,20,0.35,300,810,480,1.15,3.1e-8,1,900,45,false,0.1,0.65,0.25,,shipbuildericons/ICO_480cmIRArcLaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Arc Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
720cmIRArcLaserCannon,720 cm IR Arc Laser Cannon,ThreeNoseAngle,6,15,Project_240cmIRArcLaserCannon,true,true,1,555,20,0.35,350,810,720,1.15,2.5e-8,1.4,950,45,false,0.1,0.65,0.25,,shipbuildericons/ICO_720cmIRArcLaserCannon,shipweapons/large_laser_cannon,spaceCombat/Arc Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
960cmIRArcLaserCannon,960 cm IR Arc Laser Cannon,FourNose,8,16,Project_240cmIRArcLaserCannon,true,true,1,715,20,0.35,400,810,960,1.15,2e-8,2,1000,45,false,0.1,0.65,0.25,,shipbuildericons/ICO_960cmIRArcLaserCannon,shipweapons/huge_laser_cannon,spaceCombat/Arc Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
PointDefensePhaserTurret,Point Defense Phaser Turret,OneHull,2,17,Project_PointDefensePhaserTurret,false,true,1,20,3,0.45,50,1080,30,1.1,5e-8,0,350,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_PointDefensePhaserTurret,shipweapons/point_defense_laser_battery,spaceCombat/Phaser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
60cmIRPhaserBattery,60 cm IR Phaser Battery,OneHull,2,18,Project_60cmIRPhaserBattery,true,true,1,75,10,0.45,100,810,60,1.1,5e-8,0.2,600,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_60cmIRPhaserBattery,shipweapons/small_laser_battery,spaceCombat/Phaser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
120cmIRPhaserBattery,120 cm IR Phaser Battery,TwoHullHoriz,3,19,Project_60cmIRPhaserBattery,true,true,1,100,10,0.45,150,810,120,1.1,4e-8,0.4,700,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_120cmIRPhaserBattery,shipweapons/medium_laser_battery,spaceCombat/Phaser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
360cmIRPhaserBattery,360 cm IR Phaser Battery,FourHull,4,20,Project_60cmIRPhaserBattery,true,true,1,200,10,0.45,250,810,360,1.1,3.2e-8,0.8,850,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_360cmIRPhaserBattery,shipweapons/large_laser_battery,spaceCombat/Phaser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
240cmIRPhaserCannon,240 cm IR Phaser Cannon,OneNose,4,21,Project_240cmIRPhaserCannon,true,true,1,150,10,0.45,200,810,240,1.1,2.6e-8,0.6,800,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_240cmIRPhaserCannon,shipweapons/small_laser_cannon,spaceCombat/Phaser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
480cmIRPhaserCannon,480 cm IR Phaser Cannon,TwoNoseVert,5,22,Project_240cmIRPhaserCannon,true,true,1,250,10,0.45,300,810,480,1.1,2e-8,1,900,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_480cmIRPhaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Phaser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
720cmIRPhaserCannon,720 cm IR Phaser Cannon,ThreeNoseAngle,6,23,Project_240cmIRPhaserCannon,true,true,1,350,10,0.45,350,810,720,1.1,1.6e-8,1.4,950,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_720cmIRPhaserCannon,shipweapons/large_laser_cannon,spaceCombat/Phaser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
960cmIRPhaserCannon,960 cm IR Phaser Cannon,FourNose,8,24,Project_240cmIRPhaserCannon,true,true,1,450,10,0.45,400,810,960,1.1,1.3e-8,2,1000,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_960cmIRPhaserCannon,shipweapons/huge_laser_cannon,spaceCombat/Phaser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
60cmGreenLaserBattery,60 cm Green Laser Battery,OneHull,2,25,Project_60cmGreenLaserBattery,true,true,1,150,30,0.2,100,540,60,1.2,9e-8,0.2,600,180,false,0.1,0.65,0.25,,shipbuildericons/ICO_60cmGreenLaserBattery,shipweapons/small_laser_battery,spaceCombat/Standard Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
120cmGreenLaserBattery,120 cm Green Laser Battery,TwoHullHoriz,3,26,Project_60cmGreenLaserBattery,true,true,1,200,30,0.2,150,540,120,1.2,7.2e-8,0.4,700,180,false,0.1,0.65,0.25,,shipbuildericons/ICO_120cmGreenLaserBattery,shipweapons/medium_laser_battery,spaceCombat/Standard Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
360cmGreenLaserBattery,360 cm Green Laser Battery,FourHull,4,27,Project_60cmGreenLaserBattery,true,true,1,400,30,0.2,250,540,360,1.2,5.8e-8,0.8,850,180,false,0.1,0.65,0.25,,shipbuildericons/ICO_360cmGreenLaserBattery,shipweapons/large_laser_battery,spaceCombat/Standard Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
240cmGreenLaserCannon,240 cm Green Laser Cannon,OneNose,4,28,Project_240cmGreenLaserCannon,true,true,1,300,30,0.2,200,540,240,1.2,4.6e-8,0.6,800,45,false,0.1,0.65,0.25,,shipbuildericons/ICO_240cmGreenLaserCannon,shipweapons/small_laser_cannon,spaceCombat/Standard Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
480cmGreenLaserCannon,480 cm Green Laser Cannon,TwoNoseVert,5,29,Project_240cmGreenLaserCannon,true,true,1,500,30,0.2,300,540,480,1.2,3.7e-8,1,900,45,false,0.1,0.65,0.25,,shipbuildericons/ICO_480cmGreenLaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Standard Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
720cmGreenLaserCannon,720 cm Green Laser Cannon,ThreeNoseAngle,6,30,Project_240cmGreenLaserCannon,true,true,1,700,30,0.2,350,540,720,1.2,2.9e-8,1.4,950,45,false,0.1,0.65,0.25,,shipbuildericons/ICO_720cmGreenLaserCannon,shipweapons/large_laser_cannon,spaceCombat/Standard Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
960cmGreenLaserCannon,960 cm Green Laser Cannon,FourNose,8,31,Project_240cmGreenLaserCannon,true,true,1,900,30,0.2,400,540,960,1.2,2.4e-8,2,1000,45,false,0.1,0.65,0.25,,shipbuildericons/ICO_960cmGreenLaserCannon,shipweapons/huge_laser_cannon,spaceCombat/Standard Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
60cmGreenArcLaserBattery,60 cm Green Arc Laser Battery,OneHull,2,32,Project_60cmGreenArcLaserBattery,true,true,1,115,20,0.3,100,540,60,1.15,7.5e-8,0.4,600,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_60cmGreenArcLaserBattery,shipweapons/small_laser_battery,spaceCombat/Arc Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
120cmGreenArcLaserBattery,120 cm Green Arc Laser Battery,TwoHullHoriz,3,33,Project_60cmGreenArcLaserBattery,true,true,1,155,20,0.3,150,540,120,1.15,6e-8,0.8,700,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_120cmGreenArcLaserBattery,shipweapons/medium_laser_battery,spaceCombat/Arc Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
360cmGreenArcLaserBattery,360 cm Green Arc Laser Battery,FourHull,4,34,Project_60cmGreenArcLaserBattery,true,true,1,315,20,0.3,250,540,360,1.15,4.8e-8,1.6,850,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_360cmGreenArcLaserBattery,shipweapons/large_laser_battery,spaceCombat/Arc Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
240cmGreenArcLaserCannon,240 cm Green Arc Laser Cannon,OneNose,4,35,Project_240cmGreenArcLaserCannon,true,true,1,235,20,0.3,200,540,240,1.15,3.8e-8,1.2,800,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_240cmGreenArcLaserCannon,shipweapons/small_laser_cannon,spaceCombat/Arc Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
480cmGreenArcLaserCannon,480 cm Green Arc Laser Cannon,TwoNoseVert,5,36,Project_240cmGreenArcLaserCannon,true,true,1,395,20,0.3,300,540,480,1.15,3.1e-8,2,900,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_480cmGreenArcLaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Arc Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
720cmGreenArcLaserCannon,720 cm Green Arc Laser Cannon,ThreeNoseAngle,6,37,Project_240cmGreenArcLaserCannon,true,true,1,555,20,0.3,350,540,720,1.15,2.5e-8,2.8,950,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_720cmGreenArcLaserCannon,shipweapons/large_laser_cannon,spaceCombat/Arc Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
960cmGreenArcLaserCannon,960 cm Green Arc Laser Cannon,FourNose,8,38,Project_240cmGreenArcLaserCannon,true,true,1,715,20,0.3,400,540,960,1.15,2e-8,4,1000,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_960cmGreenArcLaserCannon,shipweapons/huge_laser_cannon,spaceCombat/Arc Laser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
60cmGreenPhaserBattery,60 cm Green Phaser Battery,OneHull,2,39,Project_60cmGreenPhaserBattery,true,true,1,115,10,0.4,100,540,60,1.1,5e-8,0.8,600,180,false,0.1,0.525,0.35,0.025,shipbuildericons/ICO_60cmGreenPhaserBattery,shipweapons/small_laser_battery,spaceCombat/Phaser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
120cmGreenPhaserBattery,120 cm Green Phaser Battery,TwoHullHoriz,3,40,Project_60cmGreenPhaserBattery,true,true,1,155,10,0.4,150,540,120,1.1,4e-8,1.6,700,180,false,0.1,0.525,0.35,0.025,shipbuildericons/ICO_120cmGreenPhaserBattery,shipweapons/medium_laser_battery,spaceCombat/Phaser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
360cmGreenPhaserBattery,360 cm Green Phaser Battery,FourHull,4,41,Project_60cmGreenPhaserBattery,true,true,1,315,10,0.4,250,540,360,1.1,3.2e-8,3.2,850,180,false,0.1,0.525,0.35,0.025,shipbuildericons/ICO_360cmGreenPhaserBattery,shipweapons/large_laser_battery,spaceCombat/Phaser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
240cmGreenPhaserCannon,240 cm Green Phaser Cannon,OneNose,4,42,Project_240cmGreenPhaserCannon,true,true,1,235,10,0.4,200,540,240,1.1,2.6e-8,2.4,800,45,false,0.1,0.525,0.35,0.025,shipbuildericons/ICO_240cmGreenPhaserCannon,shipweapons/small_laser_cannon,spaceCombat/Phaser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
480cmGreenPhaserCannon,480 cm Green Phaser Cannon,TwoNoseVert,5,43,Project_240cmGreenPhaserCannon,true,true,1,395,10,0.4,300,540,480,1.1,2e-8,4,900,45,false,0.1,0.525,0.35,0.025,shipbuildericons/ICO_480cmGreenPhaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Phaser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
720cmGreenPhaserCannon,720 cm Green Phaser Cannon,ThreeNoseAngle,6,44,Project_240cmGreenPhaserCannon,true,true,1,555,10,0.4,350,540,720,1.1,1.6e-8,5.6,950,45,false,0.1,0.525,0.35,0.025,shipbuildericons/ICO_720cmGreenPhaserCannon,shipweapons/large_laser_cannon,spaceCombat/Phaser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
960cmGreenPhaserCannon,960 cm Green Phaser Cannon,FourNose,8,45,Project_240cmGreenPhaserCannon,true,true,1,715,10,0.4,400,540,960,1.1,1.3e-8,8,1000,45,false,0.1,0.525,0.35,0.025,shipbuildericons/ICO_960cmGreenPhaserCannon,shipweapons/huge_laser_cannon,spaceCombat/Phaser Beam Green,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
60cmUVLaserBattery,60 cm UV Laser Battery,OneHull,2,46,Project_60cmUVLaserBattery,true,true,1,150,30,0.1,100,270,60,1.2,9e-8,0.2,600,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_60cmUVLaserBattery,shipweapons/small_laser_battery,spaceCombat/Standard Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
120cmUVLaserBattery,120 cm UV Laser Battery,TwoHullHoriz,3,47,Project_60cmUVLaserBattery,true,true,1,200,30,0.1,150,270,120,1.2,7.2e-8,0.4,700,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_120cmUVLaserBattery,shipweapons/medium_laser_battery,spaceCombat/Standard Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
360cmUVLaserBattery,360 cm UV Laser Battery,FourHull,4,48,Project_60cmUVLaserBattery,true,true,1,400,30,0.1,250,270,360,1.2,5.8e-8,0.8,850,180,false,0.1,0.6,0.3,,shipbuildericons/ICO_360cmUVLaserBattery,shipweapons/large_laser_battery,spaceCombat/Standard Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
240cmUVLaserCannon,240 cm UV Laser Cannon,OneNose,4,49,Project_240cmUVLaserCannon,true,true,1,300,30,0.1,200,270,240,1.2,4.6e-8,0.6,800,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_240cmUVLaserCannon,shipweapons/small_laser_cannon,spaceCombat/Standard Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
480cmUVLaserCannon,480 cm UV Laser Cannon,TwoNoseVert,5,50,Project_240cmUVLaserCannon,true,true,1,500,30,0.1,300,270,480,1.2,3.7e-8,1,900,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_480cmUVLaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Standard Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
720cmUVLaserCannon,720 cm UV Laser Cannon,ThreeNoseAngle,6,51,Project_240cmUVLaserCannon,true,true,1,700,30,0.1,350,270,720,1.2,2.9e-8,1.4,950,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_720cmUVLaserCannon,shipweapons/large_laser_cannon,spaceCombat/Standard Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
960cmUVLaserCannon,960 cm UV Laser Cannon,FourNose,8,52,Project_240cmUVLaserCannon,true,true,1,900,30,0.1,400,270,960,1.2,2.4e-8,2,1000,45,false,0.1,0.6,0.3,,shipbuildericons/ICO_960cmUVLaserCannon,shipweapons/huge_laser_cannon,spaceCombat/Standard Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
60cmUVArcLaserBattery,60 cm UV Arc Laser Battery,OneHull,2,53,Project_60cmUVArcLaserBattery,true,true,1,115,20,0.2,100,270,60,1.15,7.5e-8,0.4,600,180,false,0.1,0.525,0.375,,shipbuildericons/ICO_60cmUVArcLaserBattery,shipweapons/small_laser_battery,spaceCombat/Arc Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
120cmUVArcLaserBattery,120 cm UV Arc Laser Battery,TwoHullHoriz,3,54,Project_60cmUVArcLaserBattery,true,true,1,155,20,0.2,150,270,120,1.15,6e-8,0.8,700,180,false,0.1,0.525,0.375,,shipbuildericons/ICO_120cmUVArcLaserBattery,shipweapons/medium_laser_battery,spaceCombat/Arc Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
360cmUVArcLaserBattery,360 cm UV Arc Laser Battery,FourHull,4,55,Project_60cmUVArcLaserBattery,true,true,1,315,20,0.2,250,270,360,1.15,4.8e-8,1.6,850,180,false,0.1,0.525,0.375,,shipbuildericons/ICO_360cmUVArcLaserBattery,shipweapons/large_laser_battery,spaceCombat/Arc Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
240cmUVArcLaserCannon,240 cm UV Arc Laser Cannon,OneNose,4,56,Project_240cmUVArcLaserCannon,true,true,1,235,20,0.2,200,270,240,1.15,3.8e-8,1.2,800,45,false,0.1,0.525,0.375,,shipbuildericons/ICO_240cmUVArcLaserCannon,shipweapons/small_laser_cannon,spaceCombat/Arc Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
480cmUVArcLaserCannon,480 cm UV Arc Laser Cannon,TwoNoseVert,5,57,Project_240cmUVArcLaserCannon,true,true,1,395,20,0.2,300,270,480,1.15,3.1e-8,2,900,45,false,0.1,0.525,0.375,,shipbuildericons/ICO_480cmUVArcLaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Arc Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
720cmUVArcLaserCannon,720 cm UV Arc Laser Cannon,ThreeNoseAngle,6,58,Project_240cmUVArcLaserCannon,true,true,1,555,20,0.2,350,270,720,1.15,2.5e-8,2.8,950,45,false,0.1,0.525,0.375,,shipbuildericons/ICO_720cmUVArcLaserCannon,shipweapons/large_laser_cannon,spaceCombat/Arc Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
960cmUVArcLaserCannon,960 cm UV Arc Laser Cannon,FourNose,8,59,Project_240cmUVArcLaserCannon,true,true,1,715,20,0.2,400,270,960,1.15,2e-8,4,1000,45,false,0.1,0.525,0.375,,shipbuildericons/ICO_960cmUVArcLaserCannon,shipweapons/huge_laser_cannon,spaceCombat/Arc Laser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Cannon
60cmUVPhaserBattery,60 cm UV Phaser Battery,OneHull,2,60,Project_60cmUVPhaserBattery,true,true,1,115,10,0.3,100,270,60,1.1,5e-8,0.8,600,180,false,0.1,0.45,0.4,0.05,shipbuildericons/ICO_60cmUVPhaserBattery,shipweapons/small_laser_battery,spaceCombat/Phaser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
120cmUVPhaserBattery,120 cm UV Phaser Battery,TwoHullHoriz,3,61,Project_60cmUVPhaserBattery,true,true,1,155,10,0.3,150,270,120,1.1,4e-8,1.6,700,180,false,0.1,0.45,0.4,0.05,shipbuildericons/ICO_120cmUVPhaserBattery,shipweapons/medium_laser_battery,spaceCombat/Phaser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
360cmUVPhaserBattery,360 cm UV Phaser Battery,FourHull,4,62,Project_60cmUVPhaserBattery,true,true,1,315,10,0.3,250,270,360,1.1,3.2e-8,3.2,850,180,false,0.1,0.45,0.4,0.05,shipbuildericons/ICO_360cmUVPhaserBattery,shipweapons/large_laser_battery,spaceCombat/Phaser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Turret
240cmUVPhaserCannon,240 cm UV Phaser Cannon,OneNose,4,63,Project_240cmUVPhaserCannon,true,true,1,235,10,0.3,200,270,240,1.1,2.6e-8,2.4,800,45,false,0.1,0.45,0.4,0.05,shipbuildericons/ICO_240cmUVPhaserCannon,shipweapons/small_laser_cannon,spaceCombat/Phaser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
480cmUVPhaserCannon,480 cm UV Phaser Cannon,TwoNoseVert,5,64,Project_240cmUVPhaserCannon,true,true,1,395,10,0.3,300,270,480,1.1,2e-8,4,900,45,false,0.1,0.45,0.4,0.05,shipbuildericons/ICO_480cmUVPhaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Phaser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
720cmUVPhaserCannon,720 cm UV Phaser Cannon,ThreeNoseAngle,6,65,Project_240cmUVPhaserCannon,true,true,1,555,10,0.3,350,270,720,1.1,1.6e-8,5.6,950,45,false,0.1,0.45,0.4,0.05,shipbuildericons/ICO_720cmUVPhaserCannon,shipweapons/large_laser_cannon,spaceCombat/Phaser Beam Violet,event:/SFX/Game_SFX/Lasers/trig_SFX_Phaser_Cannon
