dataName,alien,appearanceIndex,modelResource,prefabAssetPath,imageFile,mainHullX_m,mainHullY_m,mainHullLength_m,mainHullEllipticalEnvelope_m3,templateStoredVolume_m3,runtimeCylinder_m3,noseHardpoints,hullHardpoints,utilitySlots,weaponSlots,countedSlots,includedMeshCount,excludedMachineryMeshCount,separationNote
Destroyer,false,3,ships_prm/Destroyer_3,assets/artresources/ships/dlca/destroyer/destroyer_3.prefab,destroyer-appearance-3.png,28.001000,25.982000,110.056000,62885.428219,41548,41547.562844,2,2,5,4,9,7,2,drive subtree; radiator/reactor-bay mesh
Cruiser,false,0,ships/Cruiser,assets/artresources/ships/earth/cruiser/cruiser.prefab,cruiser-appearance-0.png,23.566000,20.692000,119.637000,45819.948385,47124,54977.871438,2,3,7,5,12,6,2,drive subtree; radiator/reactor-bay mesh
Cruiser,false,1,ships/Cruiser_1,assets/artresources/ships/earth_alt/cruiser/cruiser_1.prefab,cruiser-appearance-1.png,41.435000,27.426000,160.623000,143362.034026,47124,54977.871438,2,3,7,5,12,7,2,drive subtree; radiator/reactor-bay mesh
Cruiser,false,2,ships_prm/Cruiser_2,assets/artresources/ships/earth_prm/cruiser/cruiser_2.prefab,cruiser-appearance-2.png,33.722000,22.894000,159.594000,96768.961828,47124,54977.871438,2,3,7,5,12,6,2,drive subtree; radiator/reactor-bay mesh
Cruiser,false,3,ships_prm/Cruiser_3,assets/artresources/ships/dlca/cruiser/cruiser_3.prefab,cruiser-appearance-3.png,48.120000,34.903000,153.191000,202070.381704,47124,54977.871438,2,3,7,5,12,9,2,drive subtree; radiator/reactor-bay mesh
Battlecruiser,false,0,ships/Battlecruiser,assets/artresources/ships/earth/battlecruiser/battlecruiser.prefab,battlecruiser-appearance-0.png,22.757000,20.731000,117.897000,43684.422123,47124,54977.871438,3,2,5,5,10,9,2,drive subtree; radiator/reactor-bay mesh
Battlecruiser,false,1,ships/Battlecruiser_1,assets/artresources/ships/earth_alt/battlecruiser/battlecruiser_1.prefab,battlecruiser-appearance-1.png,40.865000,32.500000,155.899000,162618.495218,47124,54977.871438,3,2,5,5,10,5,2,drive subtree; radiator/reactor-bay mesh
Battlecruiser,false,2,ships_prm/Battlecruiser_2,assets/artresources/ships/earth_prm/battlecruiser/battlecruiser_2.prefab,battlecruiser-appearance-2.png,27.455000,23.755000,157.624000,80740.993279,47124,54977.871438,3,2,5,5,10,5,2,drive subtree; radiator/reactor-bay mesh
Battlecruiser,false,3,ships_prm/Battlecruiser_3,assets/artresources/ships/dlca/battlecruiser/battlecruiser_3.prefab,battlecruiser-appearance-3.png,45.764000,37.869000,151.150000,205738.660377,47124,54977.871438,3,2,5,5,10,9,2,drive subtree; radiator/reactor-bay mesh
Battleship,false,0,ships/Battleship,assets/artresources/ships/earth/battleship/battleship.prefab,battleship-appearance-0.png,28.678000,27.414000,170.285000,105142.667670,85903,98174.770425,2,6,6,8,14,8,2,drive subtree; radiator/reactor-bay mesh
Battleship,false,1,ships/Battleship_1,assets/artresources/ships/earth_alt/battleship/battleship_1.prefab,battleship-appearance-1.png,37.290000,31.004000,180.665000,164048.422723,85903,98174.770425,2,6,6,8,14,9,2,drive subtree; radiator/reactor-bay mesh
Battleship,false,2,ships_prm/Battleship_2,assets/artresources/ships/earth_prm/battleship/battleship_2.prefab,battleship-appearance-2.png,39.177000,24.721000,176.773000,134463.754304,85903,98174.770425,2,6,6,8,14,5,2,drive subtree; radiator/reactor-bay mesh
Battleship,false,3,ships_prm/Battleship_3,assets/artresources/ships/dlca/battleship/battleship_3.prefab,battleship-appearance-3.png,47.835000,26.415000,169.472000,168180.615798,85903,98174.770425,2,6,6,8,14,7,2,drive subtree; radiator/reactor-bay mesh
Lancer,false,0,ships/Lancer,assets/artresources/ships/earth/lancer/lancer.prefab,lancer-appearance-0.png,43.318000,20.310000,220.841000,152598.424445,180956,201061.929830,4,3,7,7,14,6,2,drive subtree; radiator/reactor-bay mesh
Lancer,false,1,ships/Lancer_1,assets/artresources/ships/earth_alt/lancer/lancer_1.prefab,lancer-appearance-1.png,43.876000,24.712000,252.881000,215348.959487,180956,201061.929830,4,3,7,7,14,7,2,drive subtree; radiator/reactor-bay mesh
Lancer,false,2,ships_prm/Lancer_2,assets/artresources/ships/earth_prm/lancer/lancer_2.prefab,lancer-appearance-2.png,46.772000,31.752000,222.636000,259685.278284,180956,201061.929830,4,3,7,7,14,5,2,drive subtree; radiator/reactor-bay mesh
Lancer,false,3,ships_prm/Lancer_3,assets/artresources/ships/dlca/lancer/lancer_3.prefab,lancer-appearance-3.png,42.064000,35.755000,217.303000,256682.460941,180956,201061.929830,4,3,7,7,14,7,2,drive subtree; radiator/reactor-bay mesh
Dreadnought,false,0,ships/Dreadnought,assets/artresources/ships/earth/dreadnought/dreadnought.prefab,dreadnought-appearance-0.png,43.609000,30.105000,264.017000,272229.435950,240528,264581.006295,3,8,7,11,18,8,2,drive subtree; radiator/reactor-bay mesh
Dreadnought,false,1,ships/Dreadnought_1,assets/artresources/ships/earth_alt/dreadnought/dreadnought_1.prefab,dreadnought-appearance-1.png,56.007000,35.501000,262.862000,410481.618817,240528,264581.006295,3,8,7,11,18,11,2,drive subtree; radiator/reactor-bay mesh
Dreadnought,false,2,ships_prm/Dreadnought_2,assets/artresources/ships/earth_prm/dreadnought/dreadnought_2.prefab,dreadnought-appearance-2.png,37.315000,28.113000,251.745000,207412.754560,240528,264581.006295,3,8,7,11,18,6,2,drive subtree; radiator/reactor-bay mesh
Dreadnought,false,3,ships_prm/Dreadnought_3,assets/artresources/ships/dlca/dreadnought/dreadnought_3.prefab,dreadnought-appearance-3.png,63.838000,44.033000,245.928000,542945.652925,240528,264581.006295,3,8,7,11,18,9,2,drive subtree; radiator/reactor-bay mesh
Titan,false,0,ships/Titan,assets/artresources/ships/earth/titan/titan.prefab,titan-appearance-0.png,57.464000,40.511000,281.432000,514552.084509,264581,288633.825049,4,6,9,10,19,9,2,drive subtree; radiator/reactor-bay mesh
Titan,false,1,ships/Titan_1,assets/artresources/ships/earth_alt/titan/titan_1.prefab,titan-appearance-1.png,74.702000,53.503000,275.715000,865494.884959,264581,288633.825049,4,6,9,10,19,12,2,drive subtree; radiator/reactor-bay mesh
Titan,false,2,ships_prm/Titan_2,assets/artresources/ships/earth_prm/titan/titan_2.prefab,titan-appearance-2.png,49.039000,39.921000,265.040000,407508.818065,264581,288633.825049,4,6,9,10,19,7,2,drive subtree; radiator/reactor-bay mesh
Titan,false,3,ships_prm/Titan_3,assets/artresources/ships/dlca/titan/titan_3.prefab,titan-appearance-3.png,73.037000,62.224000,276.707000,987672.365761,264581,288633.825049,4,6,9,10,19,10,2,drive subtree; radiator/reactor-bay mesh
STOFighter,false,0,ships/STOFighter,assets/artresources/earthmapmodels/jets/stofighter.prefab,stofighter-appearance-0.png,25.844000,6.852000,29.346000,4081.717091,628,1256.637061,1,1,1,2,3,1,0,No separable drive/reactor mesh; the single jet mesh is inseparable.
AlienGunship,true,0,ships/AlienGunship,assets/artresources/ships/alien/gunship/aliengunship.prefab,aliengunship-appearance-0.png,15.555000,14.076000,63.342000,10892.207477,1963,3926.990817,1,0,3,1,4,4,4,drive subtree; radiator/reactor-bay mesh
AlienEscort,true,0,ships/AlienEscort,assets/artresources/ships/alien/escort/alienescort.prefab,alienescort-appearance-0.png,16.768000,10.095000,55.348000,7358.229100,3927,5890.486225,0,2,4,2,6,4,5,drive subtree; radiator/reactor-bay mesh
AlienCorvette,true,0,ships/AlienCorvette,assets/artresources/ships/alien/corvette/aliencorvette.prefab,aliencorvette-appearance-0.png,14.422000,13.445000,86.508000,13174.451263,3927,5890.486225,1,1,4,2,6,7,4,drive subtree; radiator/reactor-bay mesh
AlienFrigate,true,0,ships/AlienFrigate,assets/artresources/ships/alien/frigate/alienfrigate.prefab,alienfrigate-appearance-0.png,21.961000,13.103000,135.664000,30659.926821,17671,22089.323346,1,3,5,4,9,7,5,drive subtree; radiator/reactor-bay mesh
AlienMonitor,true,0,ships/AlienMonitor,assets/artresources/ships/alien/monitor/alienmonitor.prefab,alienmonitor-appearance-0.png,31.182000,19.283000,159.821000,75475.814818,22089,26507.188015,1,4,5,5,10,5,5,drive subtree; radiator/reactor-bay mesh
AlienDestroyer,true,0,ships/AlienDestroyer,assets/artresources/ships/alien/destroyer/aliendestroyer.prefab,aliendestroyer-appearance-0.png,22.300000,16.122000,167.562000,47314.412734,22089,26507.188015,2,2,5,4,9,5,5,drive subtree; radiator/reactor-bay mesh
AlienCruiser,true,0,ships/AlienCruiser,assets/artresources/ships/alien/cruiser/aliencruiser.prefab,aliencruiser-appearance-0.png,25.380000,16.702000,174.049000,57947.517795,54978,62831.853072,2,4,7,6,13,5,5,drive subtree; radiator/reactor-bay mesh
AlienBattlecruiser,true,0,ships/AlienBattlecruiser,assets/artresources/ships/alien/battlecruiser/alienbattlecruiser.prefab,alienbattlecruiser-appearance-0.png,36.914000,23.308000,255.729000,172807.622187,107992,120264.093770,3,3,6,6,12,8,5,drive subtree; radiator/reactor-bay mesh
AlienBattleship,true,0,ships/AlienBattleship,assets/artresources/ships/alien/battleship/alienbattleship.prefab,alienbattleship-appearance-0.png,35.435000,25.097000,288.243000,201325.225328,110447,122718.463031,2,6,7,8,15,8,5,drive subtree; radiator/reactor-bay mesh
AlienLancer,true,0,ships/AlienLancer,assets/artresources/ships/alien/lancer/alienlancer.prefab,alienlancer-appearance-0.png,31.557000,24.479000,274.719000,166671.706039,122718,134990.309334,6,4,7,10,17,5,5,drive subtree; radiator/reactor-bay mesh
AlienDreadnought,true,0,ships/AlienDreadnought,assets/artresources/ships/alien/dreadnought/aliendreadnought.prefab,aliendreadnought-appearance-0.png,39.797000,30.718000,315.564000,302989.802622,194386,212057.504117,4,8,9,12,21,17,5,drive subtree; radiator/reactor-bay mesh
AlienTitan,true,0,ships/AlienTitan,assets/artresources/ships/alien/titan/alientitan.prefab,alientitan-appearance-0.png,39.534000,28.813000,391.206000,349989.244758,265072,282743.338823,6,8,7,14,21,6,5,drive subtree; radiator/reactor-bay mesh
AlienAssaultCarrier,true,0,ships/AlienAssaultCarrier,assets/artresources/ships/alien/assault_carrier/alienassaultcarrier.prefab,alienassaultcarrier-appearance-0.png,58.600000,33.023000,275.800000,419181.822345,194386,212057.504117,0,6,6,6,12,17,6,drive subtree; engine-named mesh; radiator/reactor-bay mesh
AlienMothership,true,0,ships/AlienMothership,assets/artresources/ships/alien/mothership/alienmothership.prefab,alienmothership-appearance-0.png,478.340000,182.832000,716.243000,49197068.556474,1625774,1696460.032938,4,16,7,20,27,16,12,drive subtree; engine-named mesh; radiator/reactor-bay mesh
SalamanderGunship,true,0,ships/SalamanderGunship,assets/artresources/ships/alien/salamander_gunship/salamandergunship.prefab,salamandergunship-appearance-0.png,31.616000,9.053000,64.678000,14539.464246,880,1759.291886,1,1,1,2,3,4,1,thruster-named mesh
