dataName,friendlyName,maxOutput_GW,specificPower_tGW,powerPlantClass,efficiency,crew,weightedBuildMaterials/water,weightedBuildMaterials/volatiles,weightedBuildMaterials/metals,weightedBuildMaterials/nobleMetals,iconResource,requiredProjectName,weightedBuildMaterials/fissiles,weightedBuildMaterials/exotics,weightedBuildMaterials/antimatter
ElectrostaticConfinementFusionReactorII,Electrostatic Confinement Fusion Reactor II,74,0.5,Electrostatic_Confinement_Fusion,0.95,4,0.02,0.3,0.5,0.16,shipbuildericons/ICO_ElectrostaticConfinementFusionReactorII,Project_ElectrostaticConfinementFusionReactorII,0.02,,
ElectrostaticConfinementFusionReactorIII,Electrostatic Confinement Fusion Reactor III,310,0.005,Electrostatic_Confinement_Fusion,0.95,4,0.02,0.3,0.519,0.16,shipbuildericons/ICO_ElectrostaticConfinementFusionReactorIII,Project_ElectrostaticConfinementFusionReactorIII,,0.001,
MirrorCellFusionReactorI,Mirror Cell Fusion Reactor I,120,5,Mirrored_Magnetic_Confinement_Fusion,0.93,6,0.02,0.2,0.54,0.24,shipbuildericons/ICO_MirrorCellFusionReactorI,Project_MirrorCellFusionReactorI,,,
MirrorCellFusionReactorII,Mirror Cell Fusion Reactor II,215,4,Mirrored_Magnetic_Confinement_Fusion,0.95,6,0.02,0.2,0.54,0.24,shipbuildericons/ICO_MirrorCellFusionReactorII,Project_MirrorCellFusionReactorII,,,
MirrorCellFusionReactorIII,Mirror Cell Fusion Reactor III,256,0.8,Mirrored_Magnetic_Confinement_Fusion,0.97,6,0.02,0.2,0.54,0.24,shipbuildericons/ICO_MirrorCellFusionReactorIII,Project_MirrorCellFusionReactorIII,,,
FusionTokamakI,Fusion Tokamak I,128,4,Toroid_Magnetic_Confinement_Fusion,0.92,8,0.02,0.3,0.52,0.16,shipbuildericons/ICO_FusionTokamakI,Project_FusionTokamakI,,,
FusionTokamakII,Fusion Tokamak II,401,2,Toroid_Magnetic_Confinement_Fusion,0.95,8,0.02,0.3,0.52,0.16,shipbuildericons/ICO_FusionTokamakII,Project_FusionTokamakII,,,
FusionTokamakIII,Fusion Tokamak III,624,1,Toroid_Magnetic_Confinement_Fusion,0.96,8,0.02,0.3,0.52,0.16,shipbuildericons/ICO_FusionTokamakIII,Project_FusionTokamakIII,,,
FusionTokamakIV,Fusion Tokamak IV,1260,0.5,Toroid_Magnetic_Confinement_Fusion,0.985,8,0.02,0.3,0.52,0.16,shipbuildericons/ICO_FusionTokamakIV,Project_FusionTokamakIV,,,
FusionTokamakV,Fusion Tokamak V,5060,0.1,Toroid_Magnetic_Confinement_Fusion,0.99,8,0.02,0.3,0.519,0.16,shipbuildericons/ICO_FusionTokamakV,Project_FusionTokamakV,,0.001,
HybridConfinementFusionReactorI,Hybrid Confinement Fusion Reactor I,180,2,Hybrid_Confinement_Fusion,0.97,12,0.02,0.18,0.4,0.4,shipbuildericons/ICO_HybridConfinementFusionReactorI,Project_HybridConfinementFusionReactorI,,,
HybridConfinementFusionReactorII,Hybrid Confinement Fusion Reactor II,510,1,Hybrid_Confinement_Fusion,0.98,12,0.02,0.18,0.4,0.4,shipbuildericons/ICO_HybridConfinementFusionReactorII,Project_HybridConfinementFusionReactorII,,,
HybridConfinementFusionReactorIII,Hybrid Confinement Fusion Reactor III,1900,0.5,Hybrid_Confinement_Fusion,0.99,12,0.02,0.18,0.4,0.4,shipbuildericons/ICO_HybridConfinementFusionReactorIII,Project_HybridConfinementFusionReactorIII,,,
HybridConfinementFusionReactorIV,Hybrid Confinement Fusion Reactor IV,11370,0.05,Hybrid_Confinement_Fusion,0.99,12,0.02,0.18,0.1,0.7,shipbuildericons/ICO_HybridConfinementFusionReactorIV,Project_HybridConfinementFusionReactorIV,,,
ZPinchFusionReactorI,Z-Pinch Fusion Reactor I,260,3,Z_Pinch_Fusion,0.95,12,0.02,0.2,0.48,0.3,shipbuildericons/ICO_ZPinchFusionReactorI,Project_ZPinchFusionReactorI,,,
ZPinchFusionReactorII,Z-Pinch Fusion Reactor II,610,2,Z_Pinch_Fusion,0.95,12,0.02,0.2,0.48,0.3,shipbuildericons/ICO_ZPinchFusionReactorII,Project_ZPinchFusionReactorII,,,
ZPinchFusionReactorIII,Z-Pinch Fusion Reactor III,2510,1.4,Z_Pinch_Fusion,0.96,12,0.02,0.2,0.45,0.33,shipbuildericons/ICO_ZPinchFusionReactorIII,Project_ZPinchFusionReactorIII,,,
ZPinchFusionReactorIV,Z-Pinch Fusion Reactor IV,3970,0.4,Z_Pinch_Fusion,0.98,12,0.02,0.2,0.45,0.33,shipbuildericons/ICO_ZPinchFusionReactorIV,Project_ZPinchFusionReactorIV,,,
FlowStabilizedZPinchFusionReactor,Flow Stabilized Z-Pinch Fusion Reactor,7590,0.0068,Z_Pinch_Fusion,0.995,12,0.02,0.2,0.44,0.32,shipbuildericons/ICO_FlowStabilizedZPinchFusionReactor,Project_FlowStabilizedZPinchFusionReactor,,0.02,
InertialConfinementFusionReactorI,Inertial Confinement Fusion Reactor I,370,4,Inertial_Confinement_Fusion,0.85,12,0.02,0.15,0.48,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorI,Project_InertialConfinementFusionReactorI,,,
InertialConfinementFusionReactorII,Inertial Confinement Fusion Reactor II,860,2,Inertial_Confinement_Fusion,0.89,12,0.02,0.15,0.48,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorII,Project_InertialConfinementFusionReactorII,,,
InertialConfinementFusionReactorIII,Inertial Confinement Fusion Reactor III,3170,1,Inertial_Confinement_Fusion,0.92,12,0.02,0.15,0.48,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorIII,Project_InertialConfinementFusionReactorIII,,,
InertialConfinementFusionReactorIV,Inertial Confinement Fusion Reactor IV,5500,0.5,Inertial_Confinement_Fusion,0.95,12,0.02,0.15,0.48,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorIV,Project_InertialConfinementFusionReactorIV,,,
InertialConfinementFusionReactorV,Inertial Confinement Fusion Reactor V,19090,0.25,Inertial_Confinement_Fusion,0.975,10,0.02,0.15,0.47999,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorV,Project_InertialConfinementFusionReactorV,,0.00001,
InertialConfinementFusionReactorVI,Inertial Confinement Fusion Reactor VI,20420,0.068,Inertial_Confinement_Fusion,0.99,10,0.02,0.15,0.479,0.35,shipbuildericons/ICO_InertialConfinementFusionReactorVI,Project_InertialConfinementFusionReactorVI,,0.001,
InertialConfinementFusionReactorVII,Inertial Confinement Fusion Reactor VII,306430,0.002,Inertial_Confinement_Fusion,0.999,10,0.02,0.15,0.39,0.34,shipbuildericons/ICO_InertialConfinementFusionReactorVII,Project_InertialConfinementFusionReactorVII,,0.1,
AlienHybridConfinementFusionReactor,Alien Hybrid Confinement Fusion Reactor,1000,1,Hybrid_Confinement_Fusion,0.99,4,0.02,0.16,0.67,0.15,shipbuildericons/ICO_AlienHybridConfinementFusionReactor,Project_AlienMasterProject,,,
AlienAdvancedHybridConfinementFusionReactor,Alien Advanced Hybrid Confinement Fusion Reactor,6400,0.35,Hybrid_Confinement_Fusion,0.995,4,0.02,0.16,0.6658,0.15,shipbuildericons/ICO_AlienHybridConfinementFusionReactor,Project_AlienMasterProject,,0.001,
AlienSuperAdvancedHybridConfinementFusionReactor,Alien Super Advanced Hybrid Confinement Fusion Reactor,21510,0.05,Hybrid_Confinement_Fusion,0.998,4,0.02,0.16,0.665,0.15,shipbuildericons/ICO_AlienHybridConfinementFusionReactor,Project_AlienAdvancedMasterProject,,0.007,
AntimatterPlasmaCoreReactorI,Antimatter Plasma Core Reactor I,1200,0.4,Antimatter_Plasma_Core,0.9975,12,,0.2,0.5999,0.2,shipbuildericons/ICO_AntimatterPlasmaCoreReactorI,Project_AntimatterPlasmaCoreReactorI,,,0.0001
AntimatterPlasmaCoreReactorII,Antimatter Plasma Core Reactor II,11150,0.04,Antimatter_Plasma_Core,0.9975,12,,0.2,0.59999,0.2,shipbuildericons/ICO_AntimatterPlasmaCoreReactorII,Project_AntimatterPlasmaCoreReactorII,,,0.00001
AntimatterPlasmaCoreReactorIII,Antimatter Plasma Core Reactor III,66000,0.004,Antimatter_Plasma_Core,0.998,12,,0.2,0.599989,0.2,shipbuildericons/ICO_AntimatterPlasmaCoreReactorIII,Project_AntimatterPlasmaCoreReactorIII,,0.00001,0.000001
AntimatterBeamCoreReactor,Antimatter Beam Core Reactor,3000000,0.00002,Antimatter_Beam_Core,0.999,12,,0.2,0.4,0.3,shipbuildericons/ICO_AntimatterBeamCoreReactor,Project_AntimatterBeamCoreReactor,,0.05,0.05
