country_id,country,iso_codes,population_scope_codes,scenario_year,scenario_gdp_scaling,vanilla_population,proposed_population,population_scale,population_delta_percent,population_manual_review,population_geography_note,vanilla_json_initial_gdp,vanilla_effective_gdp,vanilla_gdp_per_capita,nominal_gdp_per_capita_after_scenario_scaling,ppp_gdp_per_capita_after_scenario_scaling,lower_bound_gdp_per_capita,upper_bound_gdp_per_capita,proposed_gdp_per_capita,decision,proposed_effective_gdp_after_scenario_scaling,proposed_json_initial_gdp,population_method,nominal_method,ppp_method,review_flag,un_wpp_source_url,imf_source_url,world_bank_source_url
AGO,Angola,AGO,AGO,2022,1,35373918,35635029,1.0073814554554008,0.7381455455400809,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,213211680000,213211680000,6027,3905,9433,3905,9433,6027,kept_vanilla,214785492518,214785492518,AGO: UN WPP 2024 Medium exact 2022,AGO: IMF exact 2022,AGO: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AGO,Angola,AGO,AGO,2026,0.87,40215180,40215179,0.9999999751337679,-0.0000024866232073428307,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,353896400000,307889868000,7656,3296,9172,3296,9172,7656,kept_vanilla,307889860344,353896391200,AGO: UN WPP 2024 Medium exact 2026,AGO: IMF exact 2026,AGO: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ARG,Argentina,ARG,ARG,2003,1.59,38424280,38424282,1.0000000520504222,0.000005205042219458278,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,285999415205,454739070176,11835,5894,20237,5894,20237,11835,kept_vanilla,454739093845,285999430091,ARG: UN WPP 2024 Medium exact 2003,ARG: IMF exact 2003,ARG: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ARG,Argentina,ARG,ARG,2022,1,46135796,45407904,0.984222836428356,-1.5777163571644048,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,1052111280000,1052111280000,22805,13952,29804,13952,29804,22805,kept_vanilla,1035511948240,1035511948240,ARG: UN WPP 2024 Medium exact 2022,ARG: IMF exact 2022,ARG: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ARG,Argentina,ARG,ARG,2026,0.87,46003732,46003734,1.0000000434747338,0.0000043474733812942645,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,1311344320000,1140869558400,24800,13018,30094,13018,30094,24800,kept_vanilla,1140869607999,1311344377010,ARG: UN WPP 2024 Medium exact 2026,ARG: IMF exact 2026,ARG: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ARM,Armenia,ARM,ARM,2003,1.59,3038968,3038968,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,7950877193,12641894737,4160,1469,7140,1469,7140,4160,kept_vanilla,12641894737,7950877193,ARM: UN WPP 2024 Medium exact 2003,ARM: IMF exact 2003,ARM: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ARM,Armenia,ARM,ARM,2022,1,2973185,2880874,0.9689521506398021,-3.1047849360197888,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,41240320000,41240320000,13871,6774,19740,6774,19740,13871,kept_vanilla,39959896757,39959896757,ARM: UN WPP 2024 Medium exact 2022,ARM: IMF exact 2022,ARM: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ARM,Armenia,ARM,ARM,2026,0.87,2930915,2930915,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,65378720000,56879486400,19407,9461,24561,9461,24561,19407,kept_vanilla,56879486400,65378720000,ARM: UN WPP 2024 Medium exact 2026,ARM: IMF exact 2026,ARM: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AUS,Australia,AUS,AUS,2003,1.59,19819451,19819454,1.0000001513664531,0.000015136645314939301,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,370715789474,589438105264,29740,43483,50953,43483,50953,43483,clamped_to_nominal,861818869140,542024446000,AUS: UN WPP 2024 Medium exact 2003,AUS: IMF exact 2003,AUS: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AUS,Australia,AUS,AUS,2022,1,26155303,26200984,1.001746529183776,0.17465291837759356,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,1412572480000,1412572480000,54007,66075,66405,66075,66405,66075,clamped_to_nominal,1731233002000,1731233002000,AUS: UN WPP 2024 Medium exact 2022,AUS: IMF exact 2022,AUS: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AUS,Australia,AUS,AUS,2026,0.87,27227093,27227096,1.0000001101843667,0.000011018436674170573,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,1743871360000,1517168083200,55723,67868,67067,67067,67868,67067,clamped_to_ppp,1826032796640,2098888272000,AUS: UN WPP 2024 Medium exact 2026,AUS: IMF exact 2026,AUS: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ALP,Austria,AUT+LIE,AUT+LIE,2003,1.59,8122602,8156662,1.00419323758569,0.4193237585689902,no,Aggregated all explicit game ISO components; reviewed as a composite game country rather than comparing it with only the first sovereign state.,174208771930,276991947369,34101,51472,58275,51472,58275,51472,clamped_to_nominal,419838421980,264049322000,AUT: UN WPP 2024 Medium exact 2003; LIE: UN WPP 2024 Medium exact 2003,AUT: IMF exact 2003; LIE: IMF exact 2003,AUT: IMF exact 2003; LIE: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ALP,Austria,AUT+LIE,AUT+LIE,2022,1,9072935,9103994,1.0034232582951383,0.3423258295138343,no,Aggregated all explicit game ISO components; reviewed as a composite game country rather than comparing it with only the first sovereign state.,512271760000,512271760000,56462,52836,71334,52836,71334,56462,kept_vanilla,514025398552,514025398552,AUT: UN WPP 2024 Medium exact 2022; LIE: UN WPP 2024 Medium exact 2022,AUT: IMF exact 2022; LIE: IMF exact 2022,AUT: IMF exact 2022; LIE: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
ALP,Austria,AUT+LIE,AUT+LIE,2026,0.87,9107266,9147634,1.0044325047714648,0.443250477146484,no,Aggregated all explicit game ISO components; reviewed as a composite game country rather than comparing it with only the first sovereign state.,528807558400,460062575808,50516,60218,69349,60218,69349,60218,clamped_to_nominal,550849659360,633160528000,AUT: UN WPP 2024 Medium exact 2026; LIE: UN WPP 2024 Medium exact 2026,AUT: IMF exact 2026; LIE: IMF exact 2026,AUT: IMF exact 2026; LIE: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AZE,Azerbaijan,AZE,AZE,2003,1.59,8400530,8400530,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,19721637427,31357403509,3733,1377,6383,1377,6383,3733,kept_vanilla,31357403509,19721637427,AZE: UN WPP 2024 Medium exact 2003,AZE: IMF exact 2003,AZE: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AZE,Azerbaijan,AZE,AZE,2022,1,10323606,10295304,0.9972585160650261,-0.2741483934973865,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,154579040000,154579040000,14973,7655,22212,7655,22212,14973,kept_vanilla,154155264045,154155264045,AZE: UN WPP 2024 Medium exact 2022,AZE: IMF exact 2022,AZE: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AZE,Azerbaijan,AZE,AZE,2026,0.87,10454855,10454855,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,239448000000,208319760000,19926,6522,23408,6522,23408,19926,kept_vanilla,208319760000,239448000000,AZE: UN WPP 2024 Medium exact 2026,AZE: IMF exact 2026,AZE: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BAH,Bahamas,BHS,BHS,2003,1.59,335618,335618,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,5448538012,8663175439,25813,42022,44084,42022,44084,42022,clamped_to_nominal,14103438330,8870087000,BHS: UN WPP 2024 Medium exact 2003,BHS: IMF exact 2003,BHS: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BAH,Bahamas,BHS,BHS,2022,1,401623,397538,0.9898287697666718,-1.0171230233328221,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,13951520000,13951520000,34738,34957,36785,34957,36785,34957,clamped_to_nominal,13896810000,13896810000,BHS: UN WPP 2024 Medium exact 2022,BHS: IMF exact 2022,BHS: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BAH,Bahamas,BHS,BHS,2026,0.87,404629,404628,0.9999975286002734,-0.0002471399726644563,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,14099360000,12266443200,30315,36643,39523,36643,39523,36643,clamped_to_nominal,14826946290,17042467000,BHS: UN WPP 2024 Medium exact 2026,BHS: IMF exact 2026,BHS: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BGD,Bangladesh,BGD,BGD,2003,1.59,140970351,140970351,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,152713450292,242814385964,1722,809,2945,809,2945,1722,kept_vanilla,242814385964,152713450292,BGD: UN WPP 2024 Medium exact 2003,BGD: IMF exact 2003,BGD: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BGD,Bangladesh,BGD,BGD,2022,1,168375408,169384897,1.0059954657986634,0.5995465798663391,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,979968000000,979968000000,5820,2717,8449,2717,8449,5820,kept_vanilla,985843364628,985843364628,BGD: UN WPP 2024 Medium exact 2022,BGD: IMF exact 2022,BGD: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BGD,Bangladesh,BGD,BGD,2026,0.87,177818045,177818044,0.9999999943762737,-5.623726262449225e-7,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,1568252400000,1364379588000,7673,2499,9402,2499,9402,7673,kept_vanilla,1364379580327,1568252391181,BGD: UN WPP 2024 Medium exact 2026,BGD: IMF exact 2026,BGD: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BLR,Belarus,BLR,BLR,2003,1.59,9803176,9803176,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,42814619883,68075245614,6944,2988,11786,2988,11786,6944,kept_vanilla,68075245614,42814619883,BLR: UN WPP 2024 Medium exact 2003,BLR: IMF exact 2003,BLR: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BLR,Belarus,BLR,BLR,2022,1,9429534,9173237,0.972819759703926,-2.718024029607402,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,177539120000,177539120000,18828,8038,28038,8038,28038,18828,kept_vanilla,172713564056,172713564056,BLR: UN WPP 2024 Medium exact 2022,BLR: IMF exact 2022,BLR: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BLR,Belarus,BLR,BLR,2026,0.87,8937018,8937018,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,274376080000,238707189600,26710,9934,31348,9934,31348,26710,kept_vanilla,238707189600,274376080000,BLR: UN WPP 2024 Medium exact 2026,BLR: IMF exact 2026,BLR: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BGM,Belgium,BEL+LUX,BEL+LUX,2003,1.59,10376260,10828098,1.0435453622017952,4.354536220179517,no,Aggregated all explicit game ISO components; reviewed as a composite game country rather than comparing it with only the first sovereign state.,206349122807,328095105263,31620,51051,57524,51051,57524,51051,clamped_to_nominal,552785189190,347663641000,BEL: UN WPP 2024 Medium exact 2003; LUX: UN WPP 2024 Medium exact 2003,BEL: IMF exact 2003; LUX: IMF exact 2003,BEL: IMF exact 2003; LUX: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BGM,Belgium,BEL+LUX,BEL+LUX,2022,1,11678732,12295133,1.0527797880797334,5.277978807973338,yes — reviewed,Aggregated all explicit game ISO components; reviewed as a composite game country rather than comparing it with only the first sovereign state.,629779040000,629779040000,53925,54690,72606,54690,72606,54690,clamped_to_nominal,672415940000,672415940000,BEL: UN WPP 2024 Medium exact 2022; LUX: UN WPP 2024 Medium exact 2022,BEL: IMF exact 2022; LUX: IMF exact 2022,BEL: IMF exact 2022; LUX: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BGM,Belgium,BEL+LUX,BEL+LUX,2026,0.87,11774643,12462090,1.0583836809319824,5.838368093198243,yes — reviewed,Aggregated all explicit game ISO components; reviewed as a composite game country rather than comparing it with only the first sovereign state.,791220320000,688361678400,58461,61933,73074,61933,73074,61933,clamped_to_nominal,771818090970,887147231000,BEL: UN WPP 2024 Medium exact 2026; LUX: UN WPP 2024 Medium exact 2026,BEL: IMF exact 2026; LUX: IMF exact 2026,BEL: IMF exact 2026; LUX: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BEL,Belize,BLZ,BLZ,2003,1.59,263780,263780,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,1176023392,1869877193,7089,7886,12149,7886,12149,7886,clamped_to_nominal,2080165200,1308280000,BLZ: UN WPP 2024 Medium exact 2003,BLZ: IMF exact 2003,BLZ: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BEL,Belize,BLZ,BLZ,2022,1,414463,402733,0.97169831806458,-2.830168193542004,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,2770240000,2770240000,6684,7068,13459,7068,13459,7068,clamped_to_nominal,2846604000,2846604000,BLZ: UN WPP 2024 Medium exact 2022,BLZ: IMF exact 2022,BLZ: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BEL,Belize,BLZ,BLZ,2026,0.87,428645,428644,0.9999976670671534,-0.0002332932846571545,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,5871360000,5108083200,11917,7002,13509,7002,13509,11917,kept_vanilla,5108071283,5871346303,BLZ: UN WPP 2024 Medium exact 2026,BLZ: IMF exact 2026,BLZ: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BEN,Benin,BEN,BEN,2003,1.59,7913070,7913070,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,8922222222,14186333333,1793,1075,3084,1075,3084,1793,kept_vanilla,14186333333,8922222222,BEN: UN WPP 2024 Medium exact 2003,BEN: IMF exact 2003,BEN: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BEN,Benin,BEN,BEN,2022,1,12890081,13759501,1.0674487615710095,6.744876157100954,yes — reviewed,"Single-country game territory and UN country/area boundary align. The difference is an updated historical estimate/projection vintage, not a geographic-scope mismatch; accept the UN WPP value for a consistent source vintage.",46735040000,46735040000,3626,1267,3844,1267,3844,3626,kept_vanilla,49887260570,49887260570,BEN: UN WPP 2024 Medium exact 2022,BEN: IMF exact 2022,BEN: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BEN,Benin,BEN,BEN,2026,0.87,15170420,15170419,0.9999999340822469,-0.00000659177531447952,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,61167920000,53216090400,3508,1593,4481,1593,4481,3508,kept_vanilla,53216086892,61167915968,BEN: UN WPP 2024 Medium exact 2026,BEN: IMF exact 2026,BEN: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BHU,Bhutan,BTN,BTN,2003,1.59,637663,637663,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,1473099415,2342228070,3673,1536,6282,1536,6282,3673,kept_vanilla,2342228070,1473099415,BTN: UN WPP 2024 Medium exact 2003,BTN: IMF exact 2003,BTN: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BHU,Bhutan,BTN,BTN,2022,1,790424,780914,0.9879684827383783,-1.203151726162166,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,8670640000,8670640000,10970,3670,14179,3670,14179,10970,kept_vanilla,8566319045,8566319045,BTN: UN WPP 2024 Medium exact 2022,BTN: IMF exact 2022,BTN: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
BHU,Bhutan,BTN,BTN,2026,0.87,802214,802214,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,12413280000,10799553600,13462,4182,17301,4182,17301,13462,kept_vanilla,10799553600,12413280000,BTN: UN WPP 2024 Medium exact 2026,BTN: IMF exact 2026,BTN: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
